domain	phylum	class	order	family	genus	otu.id
OTU_37	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Mycosphaerellaceae	g:Zymoseptoria	OTU_37
OTU_39	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Phaffomycetaceae	g:Cyberlindnera	OTU_39
OTU_40	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Mycosphaerellaceae	g:Zymoseptoria	OTU_40
OTU_41	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Botryotrichum	OTU_41
OTU_42	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Trimorphomycetaceae	g:Saitozyma	OTU_42
OTU_43	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Naganishia	OTU_43
OTU_44	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Talaromyces	OTU_44
OTU_45	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	OTU_45
OTU_46	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Schizothecium	OTU_46
OTU_47	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	NA	OTU_47
OTU_48	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Corticiales	f:Vuilleminiaceae	g:Vuilleminia	OTU_48
OTU_49	d:Fungi	NA	NA	NA	NA	NA	OTU_49
OTU_50	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Cucurbitariaceae	g:Pyrenochaetopsis	OTU_50
OTU_51	d:Fungi	NA	NA	NA	NA	NA	OTU_51
OTU_52	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Chaetomellaceae	g:Pilidium	OTU_52
OTU_53	d:Fungi	NA	NA	NA	NA	NA	OTU_53
OTU_54	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_54
OTU_55	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_55
OTU_56	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Chlamydomonadales	f:Chlorococcaceae	g:Tetracystis	OTU_56
OTU_60	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Cystofilobasidiales	f:Mrakiaceae	g:Itersonilia	OTU_60
OTU_62	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Clavicipitaceae	g:Metarhizium	OTU_62
OTU_64	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Filobasidium	OTU_64
OTU_65	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_65
OTU_67	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Cystofilobasidiales	f:Mrakiaceae	g:Tausonia	OTU_67
OTU_68	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	o:Chlorellales	f:Chlorellaceae	NA	OTU_68
OTU_69	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Capronia	OTU_69
OTU_70	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	NA	OTU_70
OTU_71	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Volvocales	f:Chlamydomonadaceae	g:Chlamydomonas	OTU_71
OTU_72	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Stachylidium	OTU_72
OTU_73	d:Fungi	NA	NA	NA	NA	NA	OTU_73
OTU_74	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	OTU_74
OTU_75	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Cephalothecaceae	g:Phialemonium	OTU_75
OTU_76	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Volvocales	f:Chlamydomonadaceae	g:Chloromonas	OTU_76
OTU_77	d:Fungi	NA	NA	NA	NA	NA	OTU_77
OTU_78	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Bulleribasidiaceae	g:Dioszegia	OTU_78
OTU_79	d:Fungi	p:Ascomycota	c:Saccharomycetes	NA	NA	NA	OTU_79
OTU_80	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Stemphylium	OTU_80
OTU_81	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Myrmecridiales	f:Myrmecridiaceae	g:Myrmecridium	OTU_81
OTU_83	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Plectosphaerella	OTU_83
OTU_84	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	OTU_84
OTU_87	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	NA	OTU_87
OTU_88	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	NA	NA	NA	OTU_88
OTU_89	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Filobasidium	OTU_89
OTU_90	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiaceae	g:Pragmopora	OTU_90
OTU_91	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Polyporaceae	g:Trametes	OTU_91
OTU_92	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Chordomyces	OTU_92
OTU_93	d:Fungi	p:Ascomycota	c:Sordariomycetes	NA	NA	NA	OTU_93
OTU_94	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_94
OTU_95	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	NA	NA	OTU_95
OTU_96	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hymenochaetales	f:Schizoporaceae	g:Xylodon	OTU_96
OTU_98	d:Fungi	NA	NA	NA	NA	NA	OTU_98
OTU_100	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_100
OTU_101	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_101
OTU_102	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	NA	OTU_102
OTU_103	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	OTU_103
OTU_104	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Glomerellaceae	g:Colletotrichum	OTU_104
OTU_105	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Periconiaceae	g:Periconia	OTU_105
OTU_106	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Rhodotorula	OTU_106
OTU_108	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Trichosporonales	f:Trichosporonaceae	g:Pascua	OTU_108
OTU_109	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	NA	OTU_109
OTU_112	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_112
OTU_114	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	OTU_114
OTU_115	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Hydnaceae	g:Minimedusa	OTU_115
OTU_116	d:Fungi	NA	NA	NA	NA	NA	OTU_116
OTU_117	d:Fungi	NA	NA	NA	NA	NA	OTU_117
OTU_118	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Microascales	NA	NA	OTU_118
OTU_119	d:Fungi	NA	NA	NA	NA	NA	OTU_119
OTU_120	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_120
OTU_121	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	NA	NA	OTU_121
OTU_122	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	OTU_122
OTU_124	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Chlamydomonadales	f:Chlorococcaceae	g:Tetracystis	OTU_124
OTU_126	d:Fungi	NA	NA	NA	NA	NA	OTU_126
OTU_127	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	o:Chlorellales	f:Chlorellaceae	g:Apatococcus	OTU_127
OTU_128	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_128
OTU_132	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_132
OTU_133	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	NA	NA	OTU_133
OTU_134	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	NA	NA	OTU_134
OTU_136	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Hyaloscyphaceae	g:Fuscolachnum	OTU_136
OTU_137	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Bulleribasidiaceae	g:Vishniacozyma	OTU_137
OTU_138	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Chlamydomonadales	NA	NA	OTU_138
OTU_140	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Stereaceae	g:Stereum	OTU_140
OTU_141	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideales	f:Saccotheciaceae	g:Aureobasidium	OTU_141
OTU_142	d:Fungi	p:Basidiomycota	c:Exobasidiomycetes	o:Entylomatales	f:Entylomataceae	g:Entyloma	OTU_142
OTU_143	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_143
OTU_144	d:Fungi	NA	NA	NA	NA	NA	OTU_144
OTU_145	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_145
OTU_149	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Hydnaceae	g:Sistotrema	OTU_149
OTU_150	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	NA	OTU_150
OTU_151	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	NA	NA	OTU_151
OTU_152	d:Fungi	p:Ascomycota	c:Eurotiomycetes	NA	NA	NA	OTU_152
OTU_154	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Peniophoraceae	g:Peniophora	OTU_154
OTU_155	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Melomastia	OTU_155
OTU_157	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	OTU_157
OTU_158	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	NA	NA	OTU_158
OTU_159	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_159
OTU_160	d:Alveolata	p:Ciliophora	c:Spirotrichea	o:Sporadotrichida	f:Oxytrichidae	NA	OTU_160
OTU_161	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Tricholomataceae	g:Clitocybe	OTU_161
OTU_165	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_165
OTU_166	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Cladophialophora	OTU_166
OTU_167	d:Viridiplantae	p:Chlorophyta	c:Trebouxiophyceae	o:Chlorellales	f:Koliellaceae	g:Pseudochlorella	OTU_167
OTU_168	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_168
OTU_170	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Bulleribasidiaceae	g:Dioszegia	OTU_170
OTU_171	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_171
OTU_172	d:Fungi	NA	NA	NA	NA	NA	OTU_172
OTU_173	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	OTU_173
OTU_174	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_174
OTU_175	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Strophariaceae	g:Hypholoma	OTU_175
OTU_176	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Clavulinaceae	NA	OTU_176
OTU_177	d:Viridiplantae	p:Chlorophyta	NA	NA	NA	NA	OTU_177
OTU_178	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Lectera	OTU_178
OTU_179	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	NA	OTU_179
OTU_180	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Ascobolaceae	g:Ascobolus	OTU_180
OTU_181	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	OTU_181
OTU_185	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Cryptococcaceae	g:Cryptococcus	OTU_185
OTU_186	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Mycenaceae	NA	OTU_186
OTU_187	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_187
OTU_189	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Phanerochaetaceae	g:Bjerkandera	OTU_189
OTU_191	d:Viridiplantae	p:Chlorophyta	NA	NA	NA	NA	OTU_191
OTU_192	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	g:Sporothrix	OTU_192
OTU_197	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Chaetosphaeriales	f:Chaetosphaeriaceae	g:Pseudophialocephala	OTU_197
OTU_198	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_198
OTU_199	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Dissoconiaceae	g:Dissoconium	OTU_199
OTU_200	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_200
OTU_203	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Neoascochyta	OTU_203
OTU_204	d:unidentified	NA	NA	NA	NA	NA	OTU_204
OTU_205	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	OTU_205
OTU_206	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_206
OTU_207	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Stachybotryaceae	g:Stachybotrys	OTU_207
OTU_208	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Cephalothecaceae	g:Phialemonium	OTU_208
OTU_209	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_209
OTU_211	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_211
OTU_214	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Paecilomyces	OTU_214
OTU_216	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mytilinidales	f:Gloniaceae	g:Cenococcum	OTU_216
OTU_217	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Coprinus	OTU_217
OTU_219	d:Fungi	NA	NA	NA	NA	NA	OTU_219
OTU_220	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Tricholomataceae	g:Clitocybe	OTU_220
OTU_222	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Melanommataceae	NA	OTU_222
OTU_223	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_223
OTU_224	d:unidentified	NA	NA	NA	NA	NA	OTU_224
OTU_225	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Kiflimonium	OTU_225
OTU_226	d:Viridiplantae	p:Chlorophyta	NA	NA	NA	NA	OTU_226
OTU_231	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Acremonium	OTU_231
OTU_234	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Meripilaceae	g:Rigidoporus	OTU_234
OTU_237	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Lecythophora	OTU_237
OTU_238	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	OTU_238
OTU_239	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Trichomonascaceae	g:Trichomonascus	OTU_239
OTU_241	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	NA	OTU_241
OTU_242	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	OTU_242
OTU_243	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Trichoderma	OTU_243
OTU_245	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	NA	NA	OTU_245
OTU_247	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Debaryomycetaceae	g:Debaryomyces	OTU_247
OTU_249	d:Fungi	NA	NA	NA	NA	NA	OTU_249
OTU_252	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Valsaceae	g:Cytospora	OTU_252
OTU_253	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Parastagonospora	OTU_253
OTU_257	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron	OTU_257
OTU_258	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	OTU_258
OTU_259	d:Fungi	p:Ascomycota	c:Lecanoromycetes	o:Caliciales	f:Physciaceae	g:Physcia	OTU_259
OTU_260	d:Fungi	p:Chytridiomycota	NA	NA	NA	NA	OTU_260
OTU_261	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Strophariaceae	g:Stropharia	OTU_261
OTU_263	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	NA	NA	OTU_263
OTU_268	d:Fungi	p:Chytridiomycota	c:Lobulomycetes	o:Lobulomycetales	NA	NA	OTU_268
OTU_269	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Agaricus	OTU_269
OTU_271	d:Fungi	p:Ascomycota	NA	NA	NA	NA	OTU_271
OTU_272	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Piskurozymaceae	g:Solicoccozyma	OTU_272
OTU_274	d:unidentified	NA	NA	NA	NA	NA	OTU_274
OTU_277	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Chlamydomonadales	f:Chlorosarcinaceae	g:Chlorosarcinopsis	OTU_277
OTU_279	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Stachybotryaceae	g:Striatibotrys	OTU_279
OTU_280	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinellus	OTU_280
OTU_282	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_282
OTU_286	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron	OTU_286
OTU_287	d:Fungi	NA	NA	NA	NA	NA	OTU_287
OTU_288	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	NA	OTU_288
OTU_290	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	NA	OTU_290
OTU_291	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Bombardiaceae	g:Ramophialophora	OTU_291
OTU_292	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Psathyrella	OTU_292
OTU_294	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Mycosphaerellales	f:Teratosphaeriaceae	NA	OTU_294
OTU_295	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	NA	NA	OTU_295
OTU_297	d:Fungi	p:Basidiomycota	c:Cystobasidiomycetes	o:Cystobasidiomycetes_ord_Incertae_sedis	f:Buckleyzymaceae	g:Buckleyzyma	OTU_297
OTU_300	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	OTU_300
OTU_302	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	NA	OTU_302
OTU_304	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Hygrophoraceae	g:Arrhenia	OTU_304
OTU_305	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	o:Volvocales	f:Chlamydomonadaceae	g:Chlamydomonas	OTU_305
OTU_306	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	NA	NA	OTU_306
OTU_309	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Crepidotaceae	g:Crepidotus	OTU_309
OTU_312	d:Fungi	NA	NA	NA	NA	NA	OTU_312
OTU_313	d:Metazoa	p:Nematoda	NA	NA	NA	NA	OTU_313
OTU_315	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	NA	NA	OTU_315
OTU_316	d:Viridiplantae	p:Chlorophyta	c:Chlorophyceae	NA	NA	NA	OTU_316
OTU_317	d:Fungi	p:Chytridiomycota	c:Rhizophlyctidomycetes	o:Rhizophlyctidales	f:Rhizophlyctidaceae	NA	OTU_317
OTU_319	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	NA	OTU_319
OTU_320	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	NA	OTU_320
OTU_322	d:unidentified	NA	NA	NA	NA	NA	OTU_322
